Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,DiscardsDetFate,DetritusDetFate,FisheryCatch,FisheryDiscards
Apex predators,0,3.083886,0.1966351,2.260039,,,0,0.2,,0,1,0.1268801,0.05464739
Baleen whales,0,0.5121652,0.03480716,7.185366,,,0,0.2,,0,1,8.57E-08,5.19E-05
Pollock,0,6.224493,0.6538435,4.109179,,,-1.35,0.2,,0,1,0.0618452,0.281034
Cod,0,1.520393,0.5576789,2.39571,,,0,0.2,,0,1,0.1218526,0.1289747
Forage fish,0,20.78329,0.8901679,4.190558,,,-0.112,0.2,,0,1,0.3978119,0.07682134
Arrowtooth,0,6.313004,0.3152043,1.527438,,,0,0.2,,0,1,0.004052646,0.06402338
Benthos,0,69.80161,1.794029,8.845283,,,0,0.2631942,,0,1,0.04982601,0.06998459
Pred Zoop,0,24.10852,5.287378,15.10901,,,0,0.2,,0,1,0.000141226,0.000195899
Copepods,0,,6,27.74,0.8,,0,0.2,,0,1,0,0
Microbes,0,,36.5,104.2857,0.8,,0,0.2,,0,1,0,0
Phytoplankton,1,40.39581,110.2083,,,,0,0,,0,1,0,0
Discards,2,,0.5,,,,0,0,0,0,0,0,0
Detritus,2,,0.5,,,,0,0,0,0,0,0,0
Fishery,3,,,,,,,,,1,0,,
