DIETS,Toothed.whales,Baleen.whales,Seals.and.otters,Steller.Sea.Lion,Birds,Sharks,Dogfish,W.Pollock,P.Cod,Herring,Arrowtooth,P.Halibut,Sm.Flatfish,Skates,Sablefish,Motile.epifauna,Grenadiers,Misc.fish.deep,POP,Rockfish,Misc.fish.shallow,Lg.Sculpins,Squids,Salmon,Basin.forage,Capelin,Shelf.forage,Bairdi,King.Crab,Pandalidae,Benthic.zoop,Structural.epifauna,Infauna,Jellyfish,Pred.zoop,Euphausiids,Copepods,Pelagic.microbes,Benthic.microbes,Lg.Phytoplankton,Sm.Phytoplankton
Toothed.whales,0.000053212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baleen.whales,0.001807931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seals.and.otters,5.59E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steller.Sea.Lion,6.22E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birds,,,,0.00053137,7.83E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharks,0.000161708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dogfish,,,,,,0.007967476,0.0063607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Pollock,0.003959108,1.33E-02,0.1096154,0.4024466,0.1532967,0.01060978,0.1159086,0.01730322,0.165236,,0.2074975,0.4191149,0.001732163,0.05733645,0.2043741,0.000130875,,,,0.0107855,1.62E-04,0.1298187,,,,,,,,,,,,0.001,,,,,,,
P.Cod,0.01370258,,0.004279157,0.0235676,0.07429912,,2.83E-02,4.16E-05,4.53E-05,,0.005362976,0.0118153,0.000612311,0.01391213,0.004607686,,,,,,0.01015679,0.000913099,,,,,,,,,,,,,,,,,,,
Herring,5.59E-04,0.0118378,0.05049235,0.04394183,9.80E-03,0.00318699,0.1442,0.000172621,3.97E-04,,0.06350257,0.006358922,,0.008036086,0.03488027,2.45E-05,,,,0,,0.006707491,,,,,,,,,,,,0.001,,,,,,,
Arrowtooth,4.02E-03,,0.01024814,1.20E-01,,0.1369209,0.06752175,0.000791903,1.13E-02,,5.84E-03,0.03197824,,0.1031449,,,,,0.003100021,0.000392745,,0.000358721,,,,,,,,,,,,,,,,,,,
P.Halibut,1.08E-03,,0.003514443,6.05E-03,,0.08862312,0.01820631,,0.000008771,,0.000010703,1.73E-05,1.63E-05,0.02781161,,,,,,,2.67E-05,1.69E-06,,,,,,,,,,,,,,,,,,,
Sm.Flatfish,0.001552685,,4.22E-03,0.01818206,,0.002972475,0.02610946,0.001102062,0.006265766,,0.002552324,0.006824564,,0.09747098,,0.000000244,,,,,0.002756088,0.03985396,,,,,,,,,,,,,,,,,,,
Skates,0.001757251,,,0.005556297,,,0.0135393,,,,,,,8.46E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sablefish,0.008580197,,0.001561757,0.006770829,,0.2868291,,,,,6.89E-04,0.002238899,,1.24E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motile.epifauna,0.03762805,0.002685363,0.2879565,0.006582065,2.57E-05,0.01085368,0.1049542,0.02808923,0.1701875,,1.93E-02,0.2833557,0.2223769,0.06773525,0.0628813,3.69E-02,0.1618069,,0.002883619,0.06948235,0.007612292,0.08785396,,,,,,0.11,0.505,,,,,,,,,,,,
Grenadiers,0.008408611,,,,,,,,1.12E-07,,,,,1.18E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc.fish.deep,0.000187505,,,,,,,4.97E-06,,,1.32E-06,,,1.71E-06,,,,,0.001119925,,,,,,,,,,,,,,,,,,,,,,
POP,7.76E-03,,6.18E-03,0.002709169,0.000396066,0.005102946,0.01182902,,2.89E-06,,,0.001860742,,7.07E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockfish,0.01064866,,0.008379806,0.003378752,0.000543745,0.00705153,0.01634599,,3.37E-06,,6.83E-05,,,0.000101716,0.004398339,,,,,4.06E-05,,,,,,,,,,,,,,,,,,,,,
Misc.fish.shallow,0.0423618,0.01135574,0.01304798,0.05898578,2.94E-05,0.03080095,0.01016707,0.001242196,0.03742347,,0.02350046,0.02319002,0.003455088,0.02599048,0.009465244,0.000479571,,,0.000153387,0.00013808,0.01311856,0.04004757,,,,,,,,,,,,,,,,,,,
Lg.Sculpins,,,0.000263145,0.00896753,,0.002085214,,,,,2.09E-08,0.002752389,,0.001537074,0.003689101,,,,,,0.000609961,0.001836508,,,,,,,,,,,,,,,,,,,
Squids,0.7395499,0.002674384,0.05455118,0.008478136,0.08651201,0.05739835,0.0182,0.00525073,4.35E-03,,0.002617087,0.002003727,,7.72E-03,0.2095888,,0.03039022,5.00E-01,0.002398914,0.002822606,,6.85E-05,,0.1952499,,,,,,,,,,0.001,,,,,,,
Salmon,0.000555762,0.01730836,1.41E-02,0.193425,1.12E-05,0.324638,,,,,0.01877188,0.002792445,,0.007875844,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basin.forage,0.006399387,,0.000938747,0.003065794,0.006345481,,,0.000219282,0.000307117,,1.56E-03,,,0.003656827,0.01434314,,0.02340861,,0.01136327,0.000519532,,,0.025,,,,,,,,,,,0.002,,,,,,,
Capelin,0.06158454,0.1073119,0.2264488,0.009282126,0.2917113,,,0.03621628,0.02951631,,2.22E-01,0.01582424,6.50E-05,4.95E-02,0.000854144,8.55E-06,,,,1.77E-07,,0.01230053,0.025,,,,,,,,,,,0.001,,,,,,,
Shelf.forage,0.04756981,0.08289108,0.2040332,0.07266296,2.34E-01,,0.04760001,0.01738895,0.02440441,,0.08238062,0.01980737,0.002421214,0.09871949,0.003344486,0.000399438,,,0.006181311,0.001021745,9.00E-05,0.06727912,0.1,,,,,,,,,,,0.004000002,,,,,,,
Bairdi,,0.000144967,4.00E-06,,1.06E-05,,0.000479522,0.000393888,0.07303187,,0.000004973,0.05504799,0.007301866,2.87E-03,0.008263595,8.94E-05,,,2.02E-05,0.000320605,0.008916959,0.04414029,,,,,,,,,,,,,,,,,,,
King.Crab,,1.45E-06,3.99E-08,,1.06E-07,,4.78E-06,,8.58E-07,,,7.07E-05,,3.56E-06,,,,,,1.84E-08,,0.01754265,,,,,,,,,,,,,,,,,,,
Pandalidae,,0.002483075,6.85E-05,,1.82E-04,,0.07570001,0.08553705,0.08068896,,0.09362129,0.01829578,0.1277408,0.009794015,0.04475418,4.47E-05,0.1149897,,0.007727172,0.20103,0.01725179,0.007460861,,,,,,,,,,,,,,,,,,,
Benthic.zoop,,0.131805,7.21E-05,,0.03056688,2.03E-05,0.01666088,0.1602708,0.2414322,1.09E-05,0.01933323,0.06700876,1.87E-01,0.3867394,0.03235069,0.05404999,0.6694046,0.5,0.05337534,0.1093607,0.192756,0.3262298,0.025,,,,,0.025,0.032,0.3,0.02536223,0.25,0.1189752,,0.01066257,,,,,,
Structural.epifauna,,0.000127175,,,,,0.000142233,,2.88E-05,,2.50E-07,4.81E-06,0.000503568,,0.003750576,5.68E-05,,,,0.000769014,9.35E-03,6.78E-06,,,,,,0.01,0.055,,,,,,,,,,,,
Infauna,,0.004828339,,0.005780616,0.003828913,,0.02547031,0.005122122,0.06085987,0.000114325,0.002903424,0.002821408,0.3741118,0.02045987,0.009801775,0.3270763,0.000000009,,,0.00027913,0.006783887,0.12942,,,,,,0.79,0.35,0.1,0.008454075,,,,,,,,,,
Jellyfish,,,,,,,0.0115,1.72E-06,,,,,3.28E-08,,0.02897805,,,,,0.005823222,1.45E-04,7.51E-06,,,,,,,,,,,,,,,,,,,
Pred.zoop,,5.69E-02,,,3.14E-03,,3.21E-02,0.05837582,0.000366078,0.000116362,6.41E-05,1.65E-05,0.005462278,,0.135892,3.57E-05,,,0.04294914,0.05090476,0.2542606,0.07051319,0.205,0.3964374,,,,,,,,,,0.1,0.0319877,,,,,,
Euphausiids,,0.4387228,,,0.05024381,,0.1287,0.4905567,0.04458673,0.9001096,0.2272999,0.004733112,0.06524353,,0.129518,6.04E-06,,,0.7555326,0.3841388,4.16E-01,0.009595371,0.42,0.2011875,0.9,0.9,0.9,,,0.2,0.01690815,,,0.64,0.01066257,,,,,,
Copepods,,0.1156043,,,0.05465907,,0.0799543,0.09128769,0.000105551,0.09964891,7.09E-05,,0.002411173,,0.002909938,,,,0.1078995,0.1621657,0.05967856,2.77E-05,0.2,0.2071252,0.1,0.1,0.1,,,,0.004254581,,,0.15,0.25,0.25,,,,,
Pelagic.microbes,,,,,,,,,,,,,8.87E-07,,,2.16E-05,,,,,9.17E-05,,,,,,,,,,0.002552749,,,0.03,0.15,0.15,0.5,,,,
Benthic.microbes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4492204,0.15,0.3334347,,,,,,,,
Lg.Phytoplankton,,,,,,,,,1.78E-07,,0.000000064,2.93E-06,,,4.53E-06,0.0434189,,,,,,,,,,,,,,,0.008509164,,,0.05,0.4466872,0.5,0.25,,,,
Sm.Phytoplankton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001701833,,,0.02,0.1,0.1,0.25,0.7,,,
Discards,,,,,0.000398314,0.02493908,,0.000631227,0.02664563,,0.001319128,0.02206326,2.26E-05,,0.05135006,2.07E-05,,,0.005295628,4.69E-06,,0.008015926,,,,,,0.015,0.008,,,,,,,,,,,,
Pelagic.Detritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,
Benthic.Detritus,,,,,,,,,0.02280808,,,,,0.009285232,,0.5372455,,,,,,,,,,,,0.05,0.05,0.4,0.4830367,0.6,0.5475901,,,,,,1,,
