Year,Month,Value
1950,1,-1.979421683
1950,2,-2.724578388
1950,3,-1.238322045
1950,4,-1.425908865
1950,5,-2.551535037
1950,6,-1.812695172
1950,7,-2.778522756
1950,8,-0.59311968
1950,9,-2.072081699
1950,10,-1.255742953
1950,11,-2.226692223
1950,12,-0.747550902
1951,1,-1.43134923
1951,2,-1.019715654
1951,3,-2.00970516
1951,4,-0.589204587
1951,5,-0.532362005
1951,6,-1.183038633
1951,7,0.540733261
1951,8,-1.230586264
1951,9,0.072430667
1951,10,-0.206268864
1951,11,-0.162866081
1951,12,-1.614304357
1952,1,-1.86794932
1952,2,-0.466787199
1952,3,-0.737423919
1952,4,-1.276497387
1952,5,-1.297200275
1952,6,-1.497866903
1952,7,-1.242338153
1952,8,-0.497975414
1952,9,-0.770799923
1952,10,-0.236542155
1952,11,-0.617286516
1952,12,0.006147754
1953,1,-0.53028096
1953,2,-0.107383704
1953,3,-1.228304083
1953,4,-0.180813213
1953,5,0.16109136
1953,6,0.094793756
1953,7,0.577309084
1953,8,0.120462317
1953,9,-0.500133314
1953,10,-0.983283334
1953,11,0.073811229
1953,12,0.034411453
1954,1,-1.226983231
1954,2,-1.526566737
1954,3,-0.627226331
1954,4,-1.555398813
1954,5,-0.267218071
1954,6,0.724450296
1954,7,0.293846449
1954,8,0.149005597
1954,9,-0.822851194
1954,10,0.641383285
1954,11,0.783843158
1954,12,-0.502598839
1955,1,0.185000038
1955,2,-1.443627469
1955,3,-1.368555558
1955,4,-2.192887787
1955,5,-1.51135499
1955,6,-2.433092057
1955,7,-2.24817331
1955,8,-2.067855807
1955,9,-1.874286869
1955,10,-2.708860923
1955,11,-2.813651952
1955,12,-2.622376309
1956,1,-2.304549409
1956,2,-2.567915326
1956,3,-2.670890686
1956,4,-2.392103092
1956,5,-1.715311862
1956,6,-1.747877587
1956,7,-1.041171122
1956,8,-1.030783305
1956,9,-0.583415348
1956,10,-2.204306072
1956,11,-1.895343989
1956,12,-1.237455029
1957,1,-1.691451411
1957,2,-0.669527633
1957,3,-0.076238393
1957,4,-0.808341422
1957,5,0.30386117
1957,6,1.45596304
1957,7,0.559021173
1957,8,0.558125941
1957,9,1.810943119
1957,10,1.630310791
1957,11,-0.200734451
1957,12,-0.549705005
1958,1,0.231446856
1958,2,0.528484018
1958,3,0.144156783
1958,4,0.825224075
1958,5,1.027908066
1958,6,1.057797876
1958,7,0.714468424
1958,8,1.081419406
1958,9,0.457610072
1958,10,0.126737337
1958,11,-0.068195157
1958,12,0.778688876
1959,1,0.640178855
1959,2,-0.439140777
1959,3,-1.05799872
1959,4,-0.250538569
1959,5,-0.042865512
1959,6,0.233688581
1959,7,-0.556541456
1959,8,-0.517004267
1959,9,-0.729158907
